seqID,marker,cluster_id,cluster_probability,predicted_otu,classification_type,identity,pred_domain,pred_kingdom,pred_phylum,pred_class,pred_order,pred_family,pred_genus,pred_species,taxID,species_name,full_taxonomy,gt_domain,gt_kingdom,gt_phylum,gt_class,gt_order,gt_family,gt_genus,gt_species,has_taxonomy,has_ground_truth
KY682872.1,SSU,682,1.0,Branchioglossum bipinnatifidum,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Branchioglossum,Branchioglossum bipinnatifidum,158660,Polyneuropsis stolonifera,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Ceramiales;Delesseriaceae;Polyneuropsis;Polyneuropsis stolonifera,Eukaryota,,Rhodophyta,Florideophyceae,,,Polyneuropsis,Polyneuropsis stolonifera,True,True
GQ912748.1,SSU,1837,1.0,Pellobunus insularis,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Pellobunus,Pellobunus insularis,863998,Pellobunus insularis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Grassatores;Samooidea;Samoidae;Pellobunus;Pellobunus insularis,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Pellobunus,Pellobunus insularis,True,True
GQ912740.1,SSU,1761,1.0,Stygnoplus clavotibialis,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Stygnoplus,Stygnoplus clavotibialis,863972,Stygnoplus clavotibialis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Grassatores;Gonyleptoidea;Stygnidae;Stygnoplus;Stygnoplus clavotibialis,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Stygnoplus,Stygnoplus clavotibialis,True,True
GQ912721.1,SSU,828,1.0,Fumontana deprehendor,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Fumontana,Fumontana deprehendor,476021,Fumontana deprehendor,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Triaenonychidae;Fumontana;Fumontana deprehendor,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Fumontana,Fumontana deprehendor,True,True
GQ912718.1,SSU,1942,1.0,Theromaster brunnea,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Theromaster,Theromaster brunnea,863948,Theromaster brunnea,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cladonychiidae;Theromaster;Theromaster brunnea,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Theromaster,Theromaster brunnea,True,True
GQ912717.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,863984,Holoscotolemon jaqueti,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cladonychiidae;Holoscotolemon;Holoscotolemon jaqueti,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Holoscotolemon,Holoscotolemon jaqueti,True,True
GQ912716.1,SSU,1365,1.0,Erebomaster flavescens flavescens,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Erebomaster,Erebomaster flavescens flavescens,863952,Erebomaster flavescens flavescens,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Laniatores;Insidiatores;Travunioidea;Cladonychiidae;Erebomaster;Erebomaster flavescens;Erebomaster flavescens flavescens,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Erebomaster,Erebomaster flavescens flavescens,True,True
GQ912715.1,SSU,1091,0.836193,Prymnesium parvum,known_species,100.0,Eukaryota,Haptista,,,,,Prymnesium,Prymnesium parvum,591633,Anelasmocephalus cambridgei,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Opiliones;Phalangida;Palpatores;Troguloidea;Trogulidae;Anelasmocephalus;Anelasmocephalus cambridgei,Eukaryota,Opisthokonta,Arthropoda,Arachnida,,,Anelasmocephalus,Anelasmocephalus cambridgei,True,True
KY951739.1,SSU,174,1.0,Thaumastosoma diva,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Thaumastosoma,Thaumastosoma diva,2083428,Thaumastosoma diva,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Nannoniscidae;Thaumastosoma;Thaumastosoma diva,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Thaumastosoma,Thaumastosoma diva,True,True
KY951738.1,SSU,543,1.0,Ketosoma werneri,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Ketosoma,Ketosoma werneri,2093352,Ketosoma werneri,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Peracarida;Isopoda;Asellota;Janiroidea;Nannoniscidae;Ketosoma;Ketosoma werneri,Eukaryota,Opisthokonta,Arthropoda,Malacostraca,Isopoda,,Ketosoma,Ketosoma werneri,True,True
KJ490643.1,SSU,1712,1.0,Fereydounia khargensis,known_species,100.0,Eukaryota,Opisthokonta,Basidiomycota,,,,Fereydounia,Fereydounia khargensis,1538653,Fereydounia khargensis,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Urocystidales;Fereydouniaceae;Fereydounia;Fereydounia khargensis,Eukaryota,Opisthokonta,Basidiomycota,,,,Fereydounia,Fereydounia khargensis,True,True
KX889635.1,SSU,99,1.0,Euglena agilis,known_species,100.0,,,,,,,Euglena,Euglena agilis,,,,,,,,,,,,,False
KY235240.1,SSU,1789,1.0,Gambierdiscus balechii,known_species,100.0,,,,,,,Gambierdiscus,Gambierdiscus balechii,,,,,,,,,,,,,False
KY235238.1,SSU,2148,1.0,Gambierdiscus balechii,known_species,100.0,,,,,,,Gambierdiscus,Gambierdiscus balechii,,,,,,,,,,,,,False
KY235237.1,SSU,2148,1.0,Gambierdiscus balechii,known_species,100.0,,,,,,,Gambierdiscus,Gambierdiscus balechii,,,,,,,,,,,,,False
KY235236.1,SSU,1789,1.0,Gambierdiscus balechii,known_species,100.0,,,,,,,Gambierdiscus,Gambierdiscus balechii,1867896,Gambierdiscus balechii,cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Gambierdiscus;Gambierdiscus balechii,Eukaryota,,Sar,,,,Gambierdiscus,Gambierdiscus balechii,True,True
KR673881.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1739103,Ambrosiella batrae,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Microascales;Ceratocystidaceae;Ambrosiella;Ambrosiella batrae,Eukaryota,Opisthokonta,Ascomycota,Sordariomycetes,,,Ambrosiella,Ambrosiella batrae,True,True
GQ849091.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,686324,Carybdea arborifera,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;Carybdea arborifera,Eukaryota,Opisthokonta,Cnidaria,,,,Carybdea,Carybdea arborifera,True,True
GQ849082.1,SSU,490,1.0,Alatina alata,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Alatina,Alatina alata,1193083,Alatina alata,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Cubozoa;Carybdeida;Alatinidae;Alatina;Alatina alata,Eukaryota,Opisthokonta,Cnidaria,,,,Alatina,Alatina alata,True,True
GQ849078.1,SSU,1726,1.0,Chiropsalmus quadrumanus,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Chiropsalmus,Chiropsalmus quadrumanus,645347,Chiropsalmus quadrumanus,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Cubozoa;Chirodropida;Chiropsalmidae;Chiropsalmus;Chiropsalmus quadrumanus,Eukaryota,Opisthokonta,Cnidaria,,,,Chiropsalmus,Chiropsalmus quadrumanus,True,True
GQ849073.1,SSU,490,1.0,Alatina alata,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Alatina,Alatina alata,45396,Chironex fleckeri,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Cubozoa;Chirodropida;Chirodropidae;Chironex;Chironex fleckeri,Eukaryota,Opisthokonta,Cnidaria,,,,Chironex,Chironex fleckeri,True,True
EU247826.1,SSU,1850,1.0,Halicreas minimum,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Halicreas,Halicreas minimum,497499,Halicreas minimum,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Trachylinae;Trachymedusae;Halicreatidae;Halicreas;Halicreas minimum,Eukaryota,Opisthokonta,Cnidaria,,,,Halicreas,Halicreas minimum,True,True
EU247818.1,SSU,1788,1.0,Aglaura hemistoma,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Aglaura,Aglaura hemistoma,497490,Aglaura hemistoma,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Trachylinae;Trachymedusae;Rhopalonematidae;Aglaura;Aglaura hemistoma,Eukaryota,Opisthokonta,Cnidaria,,,,Aglaura,Aglaura hemistoma,True,True
EU247815.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,264042,Craspedacusta sinensis,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Trachylinae;Limnomedusae;Olindiidae;Craspedacusta;Craspedacusta sinensis,Eukaryota,Opisthokonta,Cnidaria,,,,Craspedacusta,Craspedacusta sinensis,True,True
EU247813.1,SSU,1882,1.0,Aegina citrea,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Aegina,Aegina citrea,168710,Aegina citrea,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Trachylinae;Narcomedusae;Aeginidae;Aegina;Aegina citrea,Eukaryota,Opisthokonta,Cnidaria,,,,Aegina,Aegina citrea,True,True
EU247812.1,SSU,1756,1.0,Solmundella bitentaculata,known_species,100.0,Eukaryota,Opisthokonta,Cnidaria,,,,Solmundella,Solmundella bitentaculata,497513,Solmundella bitentaculata,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Trachylinae;Narcomedusae;Aeginidae;Solmundella;Solmundella bitentaculata,Eukaryota,Opisthokonta,Cnidaria,,,,Solmundella,Solmundella bitentaculata,True,True
AY823716.1,SSU,1031,0.96227574,Colpoda steinii,known_species,100.0,,,,,,,Colpoda,Colpoda steinii,2762,Cyanophora paradoxa,cellular organisms;Eukaryota;Glaucocystophyceae;Cyanophorales;Cyanophoraceae;Cyanophora;Cyanophora paradoxa,Eukaryota,Glaucocystophyceae,,,,,Cyanophora,Cyanophora paradoxa,True,True
AY823715.1,SSU,1170,1.0,Chlorokybus atmophyticus,known_species,100.0,Eukaryota,Viridiplantae,Streptophyta,,,,Chlorokybus,Chlorokybus atmophyticus,3144,Chlorokybus atmophyticus,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus;Chlorokybus atmophyticus,Eukaryota,Viridiplantae,Streptophyta,,,,Chlorokybus,Chlorokybus atmophyticus,True,True
AY823714.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,130991,Entransia fimbriata,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Klebsormidiophyceae;Entransiales;Entransiaceae;Entransia;Entransia fimbriata,Eukaryota,Viridiplantae,Streptophyta,,,,Entransia,Entransia fimbriata,True,True
AY823713.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,37934,Tolypella porteri,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Charophyceae;Charales;Characeae;Tolypella;Tolypella porteri,Eukaryota,Viridiplantae,Streptophyta,,,,Tolypella,Tolypella porteri,True,True
AY220984.1,SSU,1163,1.0,Cephaleuros virescens,known_species,100.0,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,,,Cephaleuros,Cephaleuros virescens,173371,Cephaleuros virescens,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;TCBD clade;Trentepohliales;Trentepohliaceae;Cephaleuros;Cephaleuros virescens,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,,,Cephaleuros,Cephaleuros virescens,True,True
AY220983.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,208158,Trentepohlia jolithus,cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;TCBD clade;Trentepohliales;Trentepohliaceae;Trentepohlia;Trentepohlia jolithus,Eukaryota,Viridiplantae,Chlorophyta,Ulvophyceae,,,Trentepohlia,Trentepohlia jolithus,True,True
AF342751.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,,,,,,,,,,,,,False
AF342750.1,SSU,1056,1.0,Rhodosorus marinus,known_species,100.0,,,,,,,Rhodosorus,Rhodosorus marinus,,,,,,,,,,,,,False
AF342744.1,SSU,1,0.36165792,Pachypsylla venusta,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Hemiptera,,Pachypsylla,Pachypsylla venusta,,,,,,,,,,,,,False
AF342743.1,SSU,745,1.0,Nemalionopsis tortuosa,known_species,100.0,Eukaryota,,Rhodophyta,Florideophyceae,,,Nemalionopsis,Nemalionopsis tortuosa,101922,Nemalionopsis tortuosa,cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Nemaliophycidae;Thoreales;Thoreaceae;Nemalionopsis;Nemalionopsis tortuosa,Eukaryota,,Rhodophyta,Florideophyceae,,,Nemalionopsis,Nemalionopsis tortuosa,True,True
KM373518.1,SSU,386,0.8268804,Amathia citrina,known_species,100.0,Eukaryota,Opisthokonta,Bryozoa,,,,Amathia,Amathia citrina,1928862,Amathia verticillata,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia verticillata,Eukaryota,Opisthokonta,Bryozoa,,,,Amathia,Amathia verticillata,True,True
KM373512.1,SSU,386,1.0,Amathia citrina,known_species,100.0,Eukaryota,Opisthokonta,Bryozoa,,,,Amathia,Amathia citrina,560979,Amathia citrina,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Bryozoa;Gymnolaemata;Ctenostomatida;Vesiculariidae;Amathia;Amathia citrina,Eukaryota,Opisthokonta,Bryozoa,,,,Amathia,Amathia citrina,True,True
KX907172.1,SSU,978,1.0,Ocys tachysoides,known_species,100.0,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Ocys,Ocys tachysoides,1940097,Ocys tachysoides,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Endopterygota;Coleoptera;Adephaga;Caraboidea;Carabidae;Trechinae;Bembidiini;Ocys;Ocys tachysoides,Eukaryota,Opisthokonta,Arthropoda,Insecta,Coleoptera,,Ocys,Ocys tachysoides,True,True
KT757460.1,SSU,1104,0.940696,Rhogostoma minus,known_species,100.0,Eukaryota,,Sar,,,,Rhogostoma,Rhogostoma minus,1924735,Salpingoeca punica,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca punica,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca punica,True,True
KT757492.1,SSU,451,1.0,Salpingoeca oahu,known_species,100.0,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca oahu,1742606,Salpingoeca oahu,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca oahu,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca oahu,True,True
KT757482.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1924736,Salpingoeca macrocollata,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca macrocollata,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca macrocollata,True,True
KT757514.1,SSU,1544,0.9902318,Nusuttodinium poecilochroum,known_species,100.0,Eukaryota,,Sar,,,,Nusuttodinium,Nusuttodinium poecilochroum,473813,Salpingoeca urceolata,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca urceolata,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca urceolata,True,True
KT757508.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,,,,,,,,,,,,,False
KT757494.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1924737,Salpingoeca kvevrii,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca kvevrii,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca kvevrii,True,True
KT757487.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1928494,Salpingoeca helianthica,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca helianthica,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca helianthica,True,True
KT757477.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,86018,Salpingoeca infusionum,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca infusionum,Eukaryota,Opisthokonta,,,,,Salpingoeca,Salpingoeca infusionum,True,True
KT757448.1,SSU,1201,1.0,Diaphanoeca grandis,known_species,100.0,,,,,,,Diaphanoeca,Diaphanoeca grandis,,,,,,,,,,,,,False
KT757444.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,459534,Didymoeca costata,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Didymoeca;Didymoeca costata,Eukaryota,Opisthokonta,,,,,Didymoeca,Didymoeca costata,True,True
KT757430.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,1742608,Codosiga hollandica,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Codosiga;Codosiga hollandica,Eukaryota,Opisthokonta,,,,,Codosiga,Codosiga hollandica,True,True
KT757415.1,SSU,-1,0.0,Novel (Noise),noise,,,,,,,,,,81533,Acanthoeca spectabilis,cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Acanthoecidae;Acanthoeca;Acanthoeca spectabilis,Eukaryota,Opisthokonta,,,,,Acanthoeca,Acanthoeca spectabilis,True,True
DQ235612.1,SSU,1538,1.0,Erpobdella triannulata,known_species,100.0,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella triannulata,356161,Erpobdella triannulata,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Hirudinida;Erpobdelliformes;Erpobdellidae;Erpobdella;Erpobdella triannulata,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella triannulata,True,True
DQ235608.1,SSU,369,1.0,Barbronia arcana,known_species,100.0,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Barbronia,Barbronia arcana,356160,Barbronia arcana,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Hirudinida;Erpobdelliformes;Salifidae;Barbronia;Barbronia arcana,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Barbronia,Barbronia arcana,True,True
DQ235606.1,SSU,1594,1.0,Erpobdella ochoterenai,known_species,100.0,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella ochoterenai,356159,Erpobdella ochoterenai,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Hirudinida;Erpobdelliformes;Erpobdellidae;Erpobdella;Erpobdella ochoterenai,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella ochoterenai,True,True
DQ235605.1,SSU,1594,1.0,Erpobdella ochoterenai,known_species,100.0,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella ochoterenai,356158,Erpobdella mexicana,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Annelida;Clitellata;Hirudinea;Hirudinida;Erpobdelliformes;Erpobdellidae;Erpobdella;Erpobdella mexicana,Eukaryota,Opisthokonta,Annelida,Clitellata,,,Erpobdella,Erpobdella mexicana,True,True
